1,-45565.93957,-46688.80224
2,-44607.06648,-45582.67366
3,-44093.778,-45013.23779
4,-43732.73682,-44592.87714
5,-43528.54789,-44347.57887
6,-43372.77859,-44157.90625
7,-43221.73291,-43973.56705
8,-43061.12493,-43754.25936
9,-42871.93291,-43518.05108
10,-42769.27858,-43384.66458
11,-42669.97739,-43251.35282
12,-42570.41394,-43121.73178
13,-42493.16738,-43031.43177
14,-42425.29135,-42952.53625
15,-42372.43495,-42889.599
16,-42321.86197,-42832.70103
17,-42282.6141,-42789.35424
18,-42246.16735,-42746.88578
19,-42177.37457,-42648.0952
