1,-43560.74384,-43551.01743
2,-41248.90609,-41233.75028
3,-40259.43454,-40244.2455
4,-39836.23812,-39816.96918
5,-39488.57678,-39464.12802
6,-39326.87886,-39299.94916
7,-39202.39835,-39172.79506
8,-39102.58397,-39068.67691
9,-39010.96091,-38974.88881
10,-38955.89365,-38916.9061
11,-38888.28337,-38847.76233
12,-38818.69043,-38774.56187
13,-38757.51831,-38708.89519
14,-38710.23959,-38659.58271
15,-38678.12384,-38624.03498
16,-38628.38146,-38569.04319
17,-38572.88553,-38511.45335
18,-38527.1755,-38463.83962
19,-38478.83473,-38411.33711
20,-38435.79549,-38365.33412
21,-38408.27599,-38333.76238
22,-38385.0017,-38310.42569
23,-38361.45458,-38285.49911
