1,-45808.11201,-47301.28375
2,-44830.25175,-45841.42645
3,-44193.91716,-45044.25338
4,-43851.01421,-44604.11279
5,-43526.11753,-44216.15669
6,-43266.67524,-43919.46862
7,-43042.65828,-43651.10506
8,-42866.68017,-43450.40419
9,-42736.87225,-43300.39944
10,-42635.16944,-43188.48094
11,-42525.46298,-43076.45332
12,-42434.80915,-42981.62717
13,-42356.36873,-42892.38092
14,-42289.68572,-42818.37972
15,-42241.40798,-42762.50976
16,-42186.91437,-42710.55172
17,-42138.44074,-42662.52216
18,-42095.32276,-42620.70753
19,-42051.01343,-42577.77938
20,-42017.66179,-42538.65097
